incident_date,num_incidents,total_civilian_injuries
2025-04-12 00:00:00,16,0
2025-04-13 00:00:00,68,0
2025-04-14 00:00:00,75,0
2025-04-15 00:00:00,79,0
2025-04-16 00:00:00,78,0
2025-04-17 00:00:00,92,0
2025-04-18 00:00:00,72,0
2025-04-19 00:00:00,77,0
2025-04-20 00:00:00,92,0
2025-04-21 00:00:00,82,0
2025-04-22 00:00:00,74,0
2025-04-23 00:00:00,72,2
2025-04-24 00:00:00,69,0
2025-04-25 00:00:00,83,0
2025-04-26 00:00:00,79,0
2025-04-27 00:00:00,74,0
2025-04-28 00:00:00,74,0
2025-04-29 00:00:00,68,0
2025-04-30 00:00:00,56,0
2025-05-01 00:00:00,86,0
2025-05-02 00:00:00,61,0
2025-05-03 00:00:00,64,0
2025-05-04 00:00:00,71,0
2025-05-05 00:00:00,74,0
2025-05-06 00:00:00,59,0
2025-05-07 00:00:00,45,0
2025-05-08 00:00:00,62,0
2025-05-09 00:00:00,53,0
2025-05-10 00:00:00,34,0
2025-05-11 00:00:00,11,0
